id,name,pharmacy_name_main,description,region,address,latitude,longitude,contact_phone,pharmacy_tel,pharmacy_mob,all_phones,is_duty_24h,has_optika,has_optika_service,insurance_partners,image_url,thumb_image,gallery_images,gallery_count,google_maps_url,page_url
264,AZERİMED APTEK M.V.Vidadi küç.13A (Zaqatala),AZERİMED APTEK M.V.Vidadi küç.13A (Zaqatala),"AZERİMED APTEK M.V.Vidadi küç.13A (Zaqatala), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Zaqatala,"Zaqatala r-nu, Zaqatala ş. Vidadi ev 13",41.63,46.638,994554559176,994554559176,994554559176,*7700,None,0,0,,https://aptekonline.az//storage/PharmacyGalery/azer_med_aptek_m_v_vidadi_k_13a_zaqatala__img.jpg,thumb_azer_med_aptek_m_v_vidadi_k_13a_zaqatala__img.jpg,,0,"https://www.google.com/maps?q=41.63,46.638",https://aptekonline.az/pharmacies/264
265,KANON M.V.Vidadi küç. (Zaqatala),KANON M.V.Vidadi küç. (Zaqatala),"KANON M.V.Vidadi küç. (Zaqatala), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Zaqatala,"Zaqatala r-nu, Zaqatala ş. Vidadi",41.629,46.572,994222454874,994222454874,994554558631,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/SVEhgvaYqvKClAmQaBfv7N2Mj7zJKnJsBQzdsHji.jpeg,thumb_SVEhgvaYqvKClAmQaBfv7N2Mj7zJKnJsBQzdsHji.jpeg,,0,"https://www.google.com/maps?q=41.629,46.572",https://aptekonline.az/pharmacies/265
266,ZƏFƏRAN LEÇKOM Z.Əliyeva 5,ZƏFƏRAN LEÇKOM Z.Əliyeva 5,"ZƏFƏRAN LEÇKOM Z.Əliyeva 5, Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Səbail rayonu,,40.368,49.837,994124939971,994124939971,994554558179,*7700,0,0,0,Xalq sığorta; Ata sığorta; Mega sığorta,https://aptekonline.az//storage/PharmacyGalery/RR8b1ppvjOq0MNbfr4K3YNNozTp37UbChXGZgYGZ.jpeg,thumb_RR8b1ppvjOq0MNbfr4K3YNNozTp37UbChXGZgYGZ.jpeg,,0,"https://www.google.com/maps?q=40.368,49.837",https://aptekonline.az/pharmacies/266
271,,,", Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Lənkəran,"Lənkəran , Şilim Kənd Yolu, Kənarmeşə",38.704,48.857,,,994554558119,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/nCcbSd702KcqhwtXNDIspjTlcqGkq2j6ih6zdtWV.png,thumb_nCcbSd702KcqhwtXNDIspjTlcqGkq2j6ih6zdtWV.png,,0,"https://www.google.com/maps?q=38.704,48.857",https://aptekonline.az/pharmacies/271
268,ZƏFƏRAN M.Musayev küç. 1 (Tovuz),ZƏFƏRAN M.Musayev küç. 1 (Tovuz),"ZƏFƏRAN M.Musayev küç. 1 (Tovuz), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Tovuz,"Tovuz ş, Musa-Musayev küçesi",40.98,45.621,994554555634,994554555634,994554555634,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/z_f_ran_m_musayev_k_1_tovuz__img.jpg,thumb_z_f_ran_m_musayev_k_1_tovuz__img.jpg,,0,"https://www.google.com/maps?q=40.98,45.621",https://aptekonline.az/pharmacies/268
269,ZƏFƏRAN QƏBƏLƏ (Qəbələ),ZƏFƏRAN QƏBƏLƏ (Qəbələ),"ZƏFƏRAN QƏBƏLƏ (Qəbələ), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Qəbələ,"Qəbələ ş, Ismayil bey Qutqaşınlı küçəsi",40.975,47.844,994554559175,994554559175,994554559175,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/z_f_ran_q_b_l_q_b_l__img.jpg,thumb_z_f_ran_q_b_l_q_b_l__img.jpg,,0,"https://www.google.com/maps?q=40.975,47.844",https://aptekonline.az/pharmacies/269
270,KANON Ü.Hacıbəyov küç. (Bərdə),KANON Ü.Hacıbəyov küç. (Bərdə),"KANON Ü.Hacıbəyov küç. (Bərdə), Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bərdə,"Bərdə ş,  Üzeyir Hacıbəyov küçəsi",40.371,47.126,994202080420,994202080420,994554559167,*7700,0,0,0,Qala sığorta,https://aptekonline.az//storage/PharmacyGalery/saMipYUMN3a5ipT8QpYmMjTaLwi0bqCvPl0Yd4ai.jpeg,thumb_saMipYUMN3a5ipT8QpYmMjTaLwi0bqCvPl0Yd4ai.jpeg,,0,"https://www.google.com/maps?q=40.371,47.126",https://aptekonline.az/pharmacies/270
288,ZƏFƏRAN Sarayevo küç.,ZƏFƏRAN Sarayevo küç.,"ZƏFƏRAN Sarayevo küç., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Xətai rayonu,"Bakı şəhəri, Xətai rayonu, Sarayevo küçəsi",40.386,49.963,0123747192,0123747192,994559007537,*7700,None,1,1,,https://aptekonline.az//storage/PharmacyGalery/z_f_ran_sarayevo_k__img_1728304107.jpg,thumb_z_f_ran_sarayevo_k__img_1728304107.jpg,,0,"https://www.google.com/maps?q=40.386,49.963",https://aptekonline.az/pharmacies/288
272,"GÜNƏBAXAN M.Fətəliyev 56 F, Bakıxanov qəs.","GÜNƏBAXAN M.Fətəliyev 56 F, Bakıxanov qəs.","GÜNƏBAXAN M.Fətəliyev 56 F, Bakıxanov qəs., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Sabunçu rayonu,Bakı şəhəri Sabunçu r-nu M. Fətəliyev 56F,40.417,49.968,994559007522,994559007522,994559007522,*7700,None,0,0,,https://aptekonline.az//storage/PharmacyGalery/g_n_baxan_m_f_t_liyev_56_f_bak_xanov_q_s__img_1728303187.jpg,thumb_g_n_baxan_m_f_t_liyev_56_f_bak_xanov_q_s__img_1728303187.jpg,,0,"https://www.google.com/maps?q=40.417,49.968",https://aptekonline.az/pharmacies/272
273,KANON Ruslan A. Sulutəpə qəs.,KANON Ruslan A. Sulutəpə qəs.,"KANON Ruslan A. Sulutəpə qəs., Siz sayt və mobil tətbiq vasitəsilə dərman sifariş edə bilərsiniz. Dərman çatdırılma xidməti.",Bakı şəhəri Binəqədi rayonu,Binəqədi(Sulutəpə) Ruslan Allahverdiyev,40.435,49.774,994559007523,994559007523,994559007523,*7700,0,0,0,,https://aptekonline.az//storage/PharmacyGalery/kanon_ruslan_a_sulut_p_q_s__img.jpg,thumb_kanon_ruslan_a_sulut_p_q_s__img.jpg,,0,"https://www.google.com/maps?q=40.435,49.774",https://aptekonline.az/pharmacies/273
